,movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,genres,Combined
490,blockbuster,Svetlana Ustinova,Anna Chipovskaya,Yevgeni Tsyganov,Roman Volobuev,Comedy Crime,blockbusterSvetlana UstinovaAnna ChipovskayaYevgeni TsyganovRoman VolobuevComedy Crime
491,shot caller,Nikolaj Coster-Waldau,Jon Bernthal,Lake Bell,Ric Roman Waugh,Drama Crime Thriller,shot callerNikolaj Coster-WaldauJon BernthalLake BellRic Roman WaughDrama Crime Thriller
494,s.w.a.t.: under siege,Adrianne Palicki,Michael Jai White,Ty Olsson,Tony Giglio,Action Crime Thriller,s.w.a.t.: under siegeAdrianne PalickiMichael Jai WhiteTy OlssonTony GiglioAction Crime Thriller
495,the dragon spell,Arsen Shavlyuk,Vasyl Virastyuk,Ruslana Pysanka,Manuk Depoyan,Family Comedy Animation Fantasy Adventure,the dragon spellArsen ShavlyukVasyl VirastyukRuslana PysankaManuk DepoyanFamily Comedy Animation Fantasy Adventure
498,wish upon,Joey King,Ryan Phillippe,Sherilyn Fenn,John R. Leonetti,Fantasy Horror Thriller,wish uponJoey KingRyan PhillippeSherilyn FennJohn R. LeonettiFantasy Horror Thriller
499,girls trip,Regina Hall,Queen Latifah,Jada Pinkett Smith,Malcolm D. Lee,Comedy,girls tripRegina HallQueen LatifahJada Pinkett SmithMalcolm D. LeeComedy
500,landline,Jenny Slate,Edie Falco,Abby Quinn,Gillian Robespierre,Comedy,landlineJenny SlateEdie FalcoAbby QuinnGillian RobespierreComedy
501,detroit,John Boyega,Will Poulter,Algee Smith,Kathryn Bigelow,Thriller Crime Drama History,detroitJohn BoyegaWill PoulterAlgee SmithKathryn BigelowThriller Crime Drama History
502,columbus,John Cho,Haley Lu Richardson,Parker Posey,Kogonada,Drama,columbusJohn ChoHaley Lu RichardsonParker PoseyKogonadaDrama
503,fittest on earth: a decade of fitness,Matt Fraser,Ben Smith,Sara Sigmundsdottir,Heber Cannon Marston Sawyers Ian Wittenber Mariah Moore,Documentary,fittest on earth: a decade of fitnessMatt FraserBen SmithSara SigmundsdottirHeber Cannon Marston Sawyers Ian Wittenber Mariah MooreDocumentary
504,zero 3,Inga Jankauskaitė,Mindaugas Papinigis,Ramūnas Rudokas,Emilis Velyvis,Thriller,zero 3Inga JankauskaitėMindaugas PapinigisRamūnas RudokasEmilis VelyvisThriller
505,feed,Troian Bellisario,Tom Felton,Ben Winchell,Tommy Bertelsen,Drama,feedTroian BellisarioTom FeltonBen WinchellTommy BertelsenDrama
506,the girl from the song,Lewis Rainer,Joséphine Berry,Charlotte Atkinson,Ibai Abad,Drama Music Romance,the girl from the songLewis RainerJoséphine BerryCharlotte AtkinsonIbai AbadDrama Music Romance
507,self-criticism of a bourgeois dog,Julian Radlmaier,Deragh Campbell,Beniamin Forthi,Julian Radlmaier,Comedy,self-criticism of a bourgeois dogJulian RadlmaierDeragh CampbellBeniamin ForthiJulian RadlmaierComedy
508,sahara,Omar Sy,Louane Emera,Franck Gastambide,Pierre Coré,Adventure Animation Comedy Family,saharaOmar SyLouane EmeraFranck GastambidePierre CoréAdventure Animation Comedy Family
509,the double lover,Marine Vacth,Jérémie Renier,Jacqueline Bisset,François Ozon,Thriller,the double loverMarine VacthJérémie RenierJacqueline BissetFrançois OzonThriller
510,first kill,Bruce Willis,Hayden Christensen,Gethin Anthony,Steven C. Miller,Action Thriller,first killBruce WillisHayden ChristensenGethin AnthonySteven C. MillerAction Thriller
511,la 92,Rodney King,Tom Brokaw,George H. W. Bush,T.J. Martin Daniel Lindsay,Documentary,la 92Rodney KingTom BrokawGeorge H. W. BushT.J. Martin Daniel LindsayDocumentary
512,descendants 2,Dove Cameron,Sofia Carson,Cameron Boyce,Kenny Ortega,TV Movie Family Action Comedy Music Adventure,descendants 2Dove CameronSofia CarsonCameron BoyceKenny OrtegaTV Movie Family Action Comedy Music Adventure
516,the art of loving. story of michalina wislocka,Magdalena Boczarska,Piotr Adamczyk,Justyna Wasilewska,Maria Sadowska,Drama,the art of loving. story of michalina wislockaMagdalena BoczarskaPiotr AdamczykJustyna WasilewskaMaria SadowskaDrama
517,bye bye germany,Anatole Taubman,Moritz Bleibtreu,Joel Basman,Sam Garbarski,Comedy Drama War,bye bye germanyAnatole TaubmanMoritz BleibtreuJoel BasmanSam GarbarskiComedy Drama War
518,american violence,Kaiwi Lyman,Bruce Dern,Denise Richards,Timothy Woodward Jr.,Crime Drama Thriller,american violenceKaiwi LymanBruce DernDenise RichardsTimothy Woodward Jr.Crime Drama Thriller
519,with open arms,Christian Clavier,Ary Abittan,Elsa Zylberstein,Philippe de Chauveron,Comedy,with open armsChristian ClavierAry AbittanElsa ZylbersteinPhilippe de ChauveronComedy
520,scribe,François Cluzet,Denis Podalydès,Sami Bouajila,Thomas Kruithof,Thriller,scribeFrançois CluzetDenis PodalydèsSami BouajilaThomas KruithofThriller
521,lego dc super hero girls: brain drain,Grey Griffin,Tara Strong,Anais Fairweather,Todd Grimes,Animation,lego dc super hero girls: brain drainGrey GriffinTara StrongAnais FairweatherTodd GrimesAnimation
522,take me,Taylor Schilling,Pat Healy,Alycia Delmore,Pat Healy,Comedy Crime,take meTaylor SchillingPat HealyAlycia DelmorePat HealyComedy Crime
523,phillauri,Anushka Sharma,Diljit Dosanjh,Suraj Sharma,Anshai Lal,Fantasy Comedy Romance Drama,phillauriAnushka SharmaDiljit DosanjhSuraj SharmaAnshai LalFantasy Comedy Romance Drama
524,the incredible jessica james,Jessica Williams,Chris O'Dowd,Keith Stanfield,Jim Strouse,Romance Comedy,the incredible jessica jamesJessica WilliamsChris O'DowdKeith StanfieldJim StrouseRomance Comedy
525,can't buy my love,Adelaide Kane,Benjamin Hollingsworth,Jean Louisa Kelly,Farhad Mann,Romance,can't buy my loveAdelaide KaneBenjamin HollingsworthJean Louisa KellyFarhad MannRomance
526,thick lashes of lauri mäntyvaara,Inka Haapamäki,Rosa Honkonen,Tiitus Rantala,Hannaleena Hauru,Romance Comedy,thick lashes of lauri mäntyvaaraInka HaapamäkiRosa HonkonenTiitus RantalaHannaleena HauruRomance Comedy
527,cop and a half: new recruit,Lou Diamond Phillips,Wallace Shawn,Gina Holden,Jonathan A. Rosenbaum,Crime Comedy Action Family,cop and a half: new recruitLou Diamond PhillipsWallace ShawnGina HoldenJonathan A. RosenbaumCrime Comedy Action Family
529,mom,Sridevi Kapoor,Sajal Ali,Akshaye Khanna,Ravi Udyawar,Crime Drama Thriller,momSridevi KapoorSajal AliAkshaye KhannaRavi UdyawarCrime Drama Thriller
